id,name,abbrev,description
1,Of Course I Still Love You,OCISLY,"The second ASDS barge; Of Course I Still Love You (OCISLY) services launches in the Pacific Ocean and was the site of the first landing of a SpaceX Falcon 9 first stage during CRS-8, the launch of a Dragon spacecraft to the International Space Station."
3,Just Read the Instructions,JRTI,First (Marmac 300) and third (Marmac 303) ASDS barge; Just Read the Instructions (JRTI) is currently used to recover Falcon 9 and Heavy boosters in the Altantic Ocean.
4,Landing Zone 1,LZ-1,LZ-1 Pad located at Cape Canaveral Space Force Station at the previous LC-13
5,Landing Zone 2,LZ-2,LZ-2 Pad located at Cape Canaveral Space Force Station at the previous LC-13. Directly next to LZ-1
6,Atlantic Ocean,ATL,Atlantic Ocean
7,Landing Zone 4,LZ-4,LZ at Vandenberg
14,SpaceX Starship Landing Pad,LZ,This is the landing pad used for early Starship development flights.
16,Gulf of Mexico,GOM,Gulf of Mexico
17,A Shortfall of Gravitas,ASOG,The fourth ASDS barge; A Shortfall of Gravitas (ASOG) is currently used to recover Falcon 9 and Heavy boosters in the Altantic Ocean.
39,Orbital Launch Mount A,OLM-A,
