rocket_id,configuration_id
11,164
20,164
21,164
22,164
27,164
29,164
30,161
31,164
48,164
53,164
69,164
71,164
76,164
87,164
88,161
94,164
96,164
99,164
105,164
112,164
121,164
129,164
136,164
139,164
142,164
148,164
155,164
162,161
164,164
165,164
167,164
172,164
174,164
176,164
177,164
519,133
535,133
1398,133
1400,133
1421,133
1463,169
1501,169
1610,169
1635,169
1664,169
1707,14
1723,14
1733,14
1752,14
1771,14
1776,14
1782,14
1785,14
1820,14
1827,14
1830,14
1841,14
1842,14
1850,14
1897,55
1901,14
1911,55
1921,55
1925,55
1928,55
1935,55
1942,55
1946,55
1950,55
1980,55
1986,55
1990,55
1993,55
1998,55
2000,55
2005,55
2013,55
2014,55
2016,55
2020,145
2024,55
2027,145
2035,145
2037,55
2041,145
2054,55
2057,55
2061,145
2072,55
2076,161
2079,55
2082,145
2089,145
2091,145
2096,145
2102,164
2105,145
2107,145
2113,145
2117,164
2119,164
2122,164
2126,164
2142,161
2166,164
2218,164
2219,164
2220,161
2227,164
2354,164
2409,164
2419,164
2479,164
2496,164
2502,164
2513,164
2516,164
2517,164
2518,164
2520,164
2521,164
2550,164
2551,164
2555,207
2561,164
2586,164
2595,164
2608,164
2621,164
2623,164
2662,164
2663,161
2673,164
2674,164
2691,161
2693,164
2695,164
2698,164
2706,164
2713,164
2721,164
2732,164
2739,164
2741,161
2744,164
2746,164
2747,207
2748,207
2750,207
2751,164
2756,164
2795,164
2798,164
2799,164
2801,164
2803,207
2809,164
2812,164
2815,207
2817,164
2820,164
2822,164
2825,164
2826,164
2831,164
2832,207
2833,164
2838,164
2843,164
2844,164
2845,207
2847,164
2852,207
2854,164
2860,164
2872,164
2877,164
2879,164
2881,464
2885,164
2887,164
2889,164
2950,164
2951,164
2953,164
2958,164
2959,164
2981,164
7449,161
7455,164
7457,164
7458,164
7459,164
7460,164
7461,164
7469,164
7471,164
7494,164
7498,164
7500,164
7501,164
7503,164
7505,164
7508,164
7516,164
7517,164
7519,164
7525,164
7526,164
7527,164
7528,164
7534,164
7535,164
7536,164
7537,164
7538,164
7543,164
7544,164
7546,164
7548,164
7549,164
7550,164
7552,164
7554,164
7556,164
7557,164
7558,164
7559,164
7561,164
7564,164
7570,164
7576,161
7577,164
7579,164
7580,164
7581,164
7582,164
7583,164
7584,164
7585,164
7586,164
7587,164
7588,164
7596,164
7602,164
7604,164
7605,164
7613,164
7616,164
7617,164
7619,164
7623,164
7628,164
7629,164
7630,164
7631,164
7635,164
7638,164
7639,164
7647,164
7651,164
7689,164
7692,164
7695,164
7696,164
7697,164
7703,164
7717,164
7724,164
7730,164
7733,164
7734,164
7735,164
7736,164
7738,164
7739,164
7743,164
7744,164
7749,164
7750,164
7774,164
7775,164
7776,164
7777,164
7778,164
7779,164
7780,164
7781,164
7782,164
7813,164
7832,164
7838,164
7841,164
7842,164
7843,164
7844,164
7845,164
7846,164
7847,164
7853,164
7861,164
7862,164
7863,164
7864,164
7865,164
7866,164
7867,164
7868,164
7869,164
7870,164
7871,164
7872,164
7873,164
7874,164
7875,164
7876,164
7877,464
7943,164
7944,164
7945,164
7946,164
7948,164
7949,164
7950,164
7951,164
7952,164
7953,164
7960,164
7961,164
7962,164
7963,164
7964,164
7965,164
7967,164
7968,164
7969,164
7970,164
7976,164
7985,164
7986,164
8001,164
8032,164
8034,164
8035,164
8036,164
8037,164
8045,164
8046,164
8047,164
8048,164
8057,164
8058,164
8076,164
8081,164
8085,164
8091,164
8098,464
8149,164
8160,164
8161,164
8162,164
8163,164
8164,164
8168,164
8169,164
8172,164
8189,164
8190,164
8191,164
8192,164
8194,164
8195,164
8199,164
8200,164
8201,164
8202,164
8203,164
8205,164
8209,164
8210,164
8211,164
8212,164
8213,164
8214,164
8215,164
8216,164
8217,164
8219,164
8220,164
8221,464
8224,164
8225,164
8227,164
8232,164
8233,164
8234,164
8236,164
8237,164
8240,164
8242,164
8243,164
8245,164
8248,164
8250,164
8253,164
8255,164
8256,164
8259,164
8260,164
8261,464
8274,164
8289,164
8294,164
8307,164
8309,164
8315,164
8316,164
8319,164
8357,164
8363,164
8365,164
8367,164
8373,164
8374,164
8378,464
8389,164
8391,164
8392,164
8393,164
8394,164
8396,164
8397,164
8401,164
8402,164
8403,164
8404,164
8405,164
8414,164
8417,164
8420,164
8421,164
8422,164
8432,164
8435,164
8436,164
8440,164
8444,164
8447,164
8452,164
